Frame	100-2000	2000-5000	5000-10000	10000-100000
2970	0	0	0	0
2980	0	1	1	0
2990	1	0	0	0
3000	0	0	0	0
3010	2	0	1	0
3020	2	0	0	0
3030	0	0	0	0
3040	1	0	0	0
3050	0	2	0	0
3060	2	6	0	0
3070	90	17	0	0
3080	84	18	0	0
3090	81	25	1	0
3100	36	4	0	0
3110	3	0	0	0
3120	118	15	0	0
3130	0	0	3	0
3140	0	18	4	0
3150	10	19	2	3
3160	0	0	0	0
3170	1	0	0	0
3180	1	0	0	0
3190	8	0	0	1
3200	103	37	0	0
3210	296	69	0	0
3220	67	193	72	1
3230	13	94	47	0
3240	79	135	44	1
3250	52	119	26	0
3260	43	60	12	0
3270	20	155	42	1
3280	11	154	77	7
3290	26	135	42	1
3300	52	95	36	3
3310	27	88	17	0
3320	8	16	22	2
3330	32	102	40	4
3340	13	103	28	0
3350	36	58	27	1
3360	42	145	22	0
3370	42	129	60	4
3380	18	140	59	3
3390	34	107	58	7
3400	24	131	90	5
3410	64	158	38	0
3420	39	126	41	0
3430	14	95	29	3
3440	55	74	75	8
3450	54	93	63	2
3460	83	95	44	0
3470	41	131	90	6
3480	23	153	84	3
3490	37	156	56	0
3500	38	80	78	3
3510	31	50	53	2
3520	69	13	7	0
3530	64	17	0	0
3540	98	30	0	0
3550	59	138	20	0
3560	2	168	44	0
3570	22	111	39	0
3580	24	69	20	0
3590	29	62	19	0
3600	10	75	25	0
3610	1	83	38	0
3620	20	105	41	0
3630	16	112	50	0
3640	25	100	37	0
3650	0	15	5	0
3660	0	0	0	0
3670	0	0	0	0
3680	0	0	0	1
3690	0	0	0	3
3700	0	0	0	0
3710	0	0	0	0
3720	0	0	0	0
3730	13	1	0	0
3740	0	0	0	0
3750	0	0	0	0
3760	0	0	0	0
3770	0	0	0	0
3780	0	0	0	0
3790	0	0	0	0
3800	5	0	0	0
3810	14	0	0	0
3820	6	0	0	0
3830	18	0	0	0
3840	20	0	0	0
3850	41	3	0	0
3860	14	1	0	0
3870	5	3	0	0
3880	1	0	0	0
3890	47	15	0	0
3900	0	0	0	0
3910	0	1	0	0
3920	0	0	0	0
3930	0	0	0	0
3940	0	0	0	0
3950	1	0	0	0
3960	0	0	0	0
3970	5	0	0	0
3980	11	4	0	0
3990	1	0	0	0
4000	13	2	0	0
4010	0	0	0	0
4020	0	0	0	0
4030	0	0	0	0
4040	0	0	0	0
4050	0	0	0	0
4060	0	0	0	0
4070	0	0	0	0
4080	0	0	0	0
4090	0	0	0	0
4100	0	0	0	0
4110	0	0	0	0
4120	0	0	0	0
4130	0	0	0	0
4140	0	0	0	0
4150	0	0	0	0
4160	0	0	0	0
4170	0	0	0	0
4180	0	0	0	0
4190	0	0	0	0
4200	0	0	0	0
4210	0	0	0	0
4220	0	0	0	0
4230	0	0	0	0
4240	0	0	0	0
4250	0	0	0	0
4260	0	0	0	0
4270	0	0	0	0
4280	0	0	0	0
4290	0	0	0	0
4300	0	0	0	0
4310	0	0	0	0
4320	0	0	0	0
4330	0	0	1	0
