 0:0 1:0 2:0 3:0 4:5 #0
 0:0 1:0 2:0 3:0 4:7 #6
 0:0 1:0 2:0 3:0 4:13 #12
 0:1 1:0 2:0 3:0 4:10 #18
 0:1 1:0 2:0 3:0 4:8 #24
 0:0 1:0 2:0 3:0 4:2 #30
 0:2 1:0 2:0 3:0 4:0 #36
 0:0 1:0 2:0 3:0 4:3 #42
 0:0 1:0 2:0 3:0 4:0 #48
 0:0 1:0 2:0 3:0 4:0 #54
 0:0 1:0 2:0 3:0 4:6 #60
 0:1 1:0 2:0 3:0 4:0 #66
 0:32 1:2 2:2 3:0 4:0 #72
 0:15 1:18 2:19 3:0 4:0 #78
 0:0 1:0 2:3 3:0 4:2 #84
 0:0 1:0 2:0 3:0 4:0 #90
 0:0 1:0 2:0 3:0 4:0 #96
 0:0 1:0 2:0 3:0 4:0 #102
 0:1 1:0 2:0 3:0 4:1 #108
 0:0 1:0 2:0 3:0 4:0 #114
 0:0 1:0 2:0 3:0 4:0 #120
 0:0 1:0 2:0 3:0 4:0 #126
 0:0 1:0 2:0 3:0 4:0 #132
 0:0 1:0 2:0 3:0 4:0 #138
 0:0 1:0 2:0 3:0 4:0 #144
 0:0 1:0 2:0 3:0 4:0 #150
 0:0 1:0 2:0 3:0 4:0 #156
 0:0 1:0 2:0 3:0 4:0 #162
 0:0 1:0 2:0 3:0 4:0 #168
 0:0 1:0 2:0 3:0 4:0 #174
 0:1 1:0 2:0 3:0 4:0 #180
 0:0 1:0 2:0 3:0 4:0 #186
 0:0 1:0 2:0 3:0 4:0 #192
 0:0 1:0 2:0 3:0 4:0 #198
 0:0 1:0 2:0 3:0 4:0 #204
 0:0 1:0 2:0 3:0 4:0 #210
 0:1 1:0 2:0 3:0 4:0 #216
 0:7 1:0 2:0 3:0 4:0 #222
 0:0 1:0 2:0 3:0 4:0 #228
 0:0 1:0 2:0 3:0 4:0 #234
 0:0 1:0 2:0 3:0 4:0 #240
 0:0 1:0 2:0 3:0 4:0 #246
 0:0 1:0 2:0 3:0 4:0 #252
 0:1 1:0 2:0 3:0 4:0 #258
 0:0 1:0 2:0 3:0 4:0 #264
 0:0 1:0 2:0 3:0 4:0 #270
 0:0 1:0 2:0 3:0 4:0 #276
 0:0 1:0 2:0 3:0 4:0 #282
 0:1 1:0 2:0 3:0 4:0 #288
 0:0 1:0 2:0 3:0 4:0 #294
 0:0 1:0 2:0 3:0 4:0 #300
 0:0 1:0 2:0 3:0 4:0 #306
 0:0 1:0 2:0 3:0 4:0 #312
 0:0 1:0 2:0 3:0 4:0 #318
 0:0 1:0 2:0 3:0 4:0 #324
 0:0 1:0 2:0 3:0 4:0 #330
 0:0 1:0 2:0 3:0 4:0 #336
 0:0 1:0 2:0 3:0 4:0 #342
 0:0 1:0 2:0 3:0 4:0 #348
 0:3 1:0 2:0 3:0 4:0 #354
