1 1:1.636364 2:2.545455 3:0 4:3.545455
-1 1:0 2:0 3:0 4:0
-1 1:49.29412 2:66.11765 3:0.588235 4:0.294118
-1 1:0.454545 2:0.254545 3:0.418182 4:8.2
-1 1:0 2:0 3:0 4:0
-1 1:0.6 2:0.33 3:1.2 4:1.33
-1 1:0 2:0 3:0 4:0
-1 1:5.192308 2:7.384615 3:10.42308 4:0.538462
-1 1:4.193548 2:5.612903 3:1.516129 4:3.709677
-1 1:22.7 2:29.5333 3:4.4333 4:5.4666
-1 1:1.4 2:0.6 3:0.4 4:0
-1 1:7.857143 2:8.428571 3:0.571429 4:1
-1 1:12.777 2:36.888 3:46.288 4:2.377
-1 1:0.869565 2:0.391304 3:0.043478 4:0.086957
