1 1:0 2:0 3:0 4:36 5:34
1 1:0 2:0 3:0 4:27 5:22
1 1:0 2:0 3:0 4:48 5:49
1 1:0 2:0 3:0 4:35 5:42
1 1:0 2:0 3:0 4:27 5:55
1 1:0 2:0 3:0 4:32 5:63
1 1:0 2:0 3:0 4:17 5:50
1 1:0 2:0 3:0 4:23 5:44
1 1:0 2:0 3:0 4:28 5:33
1 1:0 2:0 3:0 4:18 5:43
1 1:0 2:0 3:0 4:93 5:28
1 1:0 2:0 3:0 4:109 5:24
1 1:0 2:0 3:0 4:28 5:40
1 1:0 2:0 3:0 4:31 5:20
1 1:0 2:0 3:0 4:42 5:35
1 1:0 2:0 3:0 4:40 5:43
1 1:0 2:0 3:0 4:21 5:34
1 1:0 2:0 3:0 4:20 5:74
1 1:0 2:0 3:0 4:67 5:76
-1 1:0 2:0 3:0 4:81 5:35
-1 1:0 2:0 3:0 4:55 5:29
-1 1:0 2:0 3:0 4:63 5:26
-1 1:0 2:0 3:0 4:33 5:10
-1 1:0 2:0 3:0 4:25 5:25
-1 1:0 2:0 3:0 4:31 5:10
-1 1:0 2:0 3:0 4:24 5:6
-1 1:0 2:0 3:0 4:50 5:10
-1 1:0 2:0 3:0 4:70 5:12
-1 1:0 2:0 3:0 4:39 5:20
-1 1:0 2:0 3:0 4:64 5:27
-1 1:0 2:0 3:0 4:40 5:5
-1 1:0 2:0 3:0 4:31 5:59
-1 1:0 2:0 3:0 4:26 5:14
-1 1:0 2:0 3:0 4:56 5:4
-1 1:0 2:0 3:0 4:41 5:30
-1 1:0 2:0 3:0 4:48 5:13
-1 1:0 2:0 3:0 4:35 5:8
-1 1:0 2:0 3:0 4:31 5:7
-1 1:0 2:0 3:0 4:28 5:5
-1 1:0 2:0 3:0 4:27 5:26
-1 1:0 2:0 3:0 4:80 5:22
-1 1:0 2:0 3:0 4:57 5:19
-1 1:0 2:0 3:0 4:114 5:4
