? 1:105.711 2:19.143 3:33.8991 #0 @ data/20140226_h_10fps.avi
? 1:106.068 2:19.2645 3:34.2769 #1 @ data/20140226_h_10fps.avi
? 1:106.587 2:19.7436 3:35.1069 #2 @ data/20140226_h_10fps.avi
? 1:106.581 2:19.6267 3:34.7725 #3 @ data/20140226_h_10fps.avi
? 1:107.889 2:20.335 3:35.4583 #4 @ data/20140226_h_10fps.avi
? 1:107.892 2:20.0295 3:34.8023 #5 @ data/20140226_h_10fps.avi
? 1:108.482 2:20.1933 3:34.887 #6 @ data/20140226_h_10fps.avi
? 1:108.595 2:19.4698 3:33.9346 #7 @ data/20140226_h_10fps.avi
? 1:106.553 2:19.4057 3:33.6682 #8 @ data/20140226_h_10fps.avi
? 1:108.965 2:20.2822 3:35.3563 #9 @ data/20140226_h_10fps.avi
? 1:107.442 2:19.1622 3:33.8607 #10 @ data/20140226_h_10fps.avi
? 1:108.396 2:19.3326 3:34.6647 #11 @ data/20140226_h_10fps.avi
? 1:108.096 2:19.8338 3:34.8182 #12 @ data/20140226_h_10fps.avi
? 1:106.501 2:19.0578 3:32.9116 #13 @ data/20140226_h_10fps.avi
? 1:108.286 2:19.4071 3:33.4332 #14 @ data/20140226_h_10fps.avi
? 1:108.249 2:18.9619 3:32.718 #15 @ data/20140226_h_10fps.avi
? 1:109.562 2:19.5753 3:33.817 #16 @ data/20140226_h_10fps.avi
? 1:109.24 2:19.4174 3:33.5239 #17 @ data/20140226_h_10fps.avi
? 1:108.591 2:18.6032 3:31.4307 #18 @ data/20140226_h_10fps.avi
? 1:110.84 2:19.9637 3:33.5106 #19 @ data/20140226_h_10fps.avi
? 1:109.817 2:19.021 3:31.8166 #20 @ data/20140226_h_10fps.avi
? 1:112.007 2:19.5283 3:32.0986 #21 @ data/20140226_h_10fps.avi
? 1:112.39 2:19.5835 3:31.4279 #22 @ data/20140226_h_10fps.avi
? 1:111.165 2:18.7143 3:29.1272 #23 @ data/20140226_h_10fps.avi
? 1:115.047 2:19.5951 3:29.9087 #24 @ data/20140226_h_10fps.avi
? 1:115.486 2:19.1558 3:29.6306 #25 @ data/20140226_h_10fps.avi
? 1:124.373 2:20.0232 3:28.0992 #26 @ data/20140226_h_10fps.avi
? 1:152.141 2:22.0978 3:25.6926 #27 @ data/20140226_h_10fps.avi
? 1:155.682 2:30.8913 3:22.6507 #28 @ data/20140226_h_10fps.avi
? 1:168.491 2:77.5491 3:21.6095 #29 @ data/20140226_h_10fps.avi
? 1:164.076 2:157.595 3:20.0078 #30 @ data/20140226_h_10fps.avi
? 1:171.275 2:179.86 3:19.1335 #31 @ data/20140226_h_10fps.avi
? 1:165.358 2:176.424 3:18.8197 #32 @ data/20140226_h_10fps.avi
? 1:156.378 2:170.773 3:23.2988 #33 @ data/20140226_h_10fps.avi
? 1:165.732 2:177.991 3:42.9378 #34 @ data/20140226_h_10fps.avi
? 1:156.273 2:171.779 3:42.7692 #35 @ data/20140226_h_10fps.avi
? 1:154.024 2:177.652 3:97.8567 #36 @ data/20140226_h_10fps.avi
? 1:152.319 2:165.886 3:139.952 #37 @ data/20140226_h_10fps.avi
? 1:148.293 2:154.456 3:148.89 #38 @ data/20140226_h_10fps.avi
? 1:155.445 2:170.47 3:111.042 #39 @ data/20140226_h_10fps.avi
? 1:150.731 2:158.365 3:49.9102 #40 @ data/20140226_h_10fps.avi
? 1:154.18 2:163.894 3:38.6987 #41 @ data/20140226_h_10fps.avi
? 1:153.382 2:161.891 3:40.5303 #42 @ data/20140226_h_10fps.avi
? 1:149.713 2:153.983 3:48.8067 #43 @ data/20140226_h_10fps.avi
? 1:152.918 2:154.327 3:74.5425 #44 @ data/20140226_h_10fps.avi
? 1:140.443 2:144.685 3:94.0953 #45 @ data/20140226_h_10fps.avi
? 1:140.712 2:117.601 3:95.2156 #46 @ data/20140226_h_10fps.avi
? 1:135.274 2:117.69 3:73.0348 #47 @ data/20140226_h_10fps.avi
? 1:133.275 2:124.066 3:48.9684 #48 @ data/20140226_h_10fps.avi
? 1:135.775 2:154.626 3:50.0852 #49 @ data/20140226_h_10fps.avi
? 1:104.579 2:159.626 3:67.4491 #50 @ data/20140226_h_10fps.avi
? 1:123.908 2:149.727 3:70.0252 #51 @ data/20140226_h_10fps.avi
? 1:123.257 2:143.175 3:93.9119 #52 @ data/20140226_h_10fps.avi
? 1:126.221 2:140.412 3:94.4908 #53 @ data/20140226_h_10fps.avi
? 1:127.349 2:153.51 3:96.9222 #54 @ data/20140226_h_10fps.avi
? 1:120.783 2:150.599 3:106.63 #55 @ data/20140226_h_10fps.avi
? 1:98.6924 2:154.857 3:104.282 #56 @ data/20140226_h_10fps.avi
? 1:105.007 2:154.94 3:102.112 #57 @ data/20140226_h_10fps.avi
? 1:104.989 2:152.646 3:101.644 #58 @ data/20140226_h_10fps.avi
? 1:105.654 2:157.08 3:103.902 #59 @ data/20140226_h_10fps.avi
? 1:103.719 2:146.869 3:99.3386 #60 @ data/20140226_h_10fps.avi
? 1:103.49 2:115.79 3:107.044 #61 @ data/20140226_h_10fps.avi
? 1:80.7678 2:105.191 3:135.665 #62 @ data/20140226_h_10fps.avi
? 1:73.5984 2:101.23 3:137.887 #63 @ data/20140226_h_10fps.avi
? 1:72.3056 2:106.885 3:140.489 #64 @ data/20140226_h_10fps.avi
? 1:45.2459 2:110.639 3:140.133 #65 @ data/20140226_h_10fps.avi
? 1:42.1119 2:130.631 3:141.708 #66 @ data/20140226_h_10fps.avi
? 1:45.3203 2:129.633 3:142.225 #67 @ data/20140226_h_10fps.avi
? 1:45.9341 2:125.055 3:141.767 #68 @ data/20140226_h_10fps.avi
? 1:47.1207 2:103.63 3:143.991 #69 @ data/20140226_h_10fps.avi
? 1:45.2106 2:100.985 3:142.808 #70 @ data/20140226_h_10fps.avi
? 1:67.9015 2:102.309 3:144.138 #71 @ data/20140226_h_10fps.avi
? 1:47.787 2:98.2625 3:143.769 #72 @ data/20140226_h_10fps.avi
? 1:68.3226 2:100.482 3:142.8 #73 @ data/20140226_h_10fps.avi
? 1:72.7917 2:127.815 3:143.951 #74 @ data/20140226_h_10fps.avi
? 1:77.0754 2:135.328 3:144.346 #75 @ data/20140226_h_10fps.avi
? 1:99.0648 2:143.687 3:144.733 #76 @ data/20140226_h_10fps.avi
? 1:98.3689 2:144.339 3:145.649 #77 @ data/20140226_h_10fps.avi
? 1:127.459 2:149.338 3:145.417 #78 @ data/20140226_h_10fps.avi
? 1:126.933 2:152.415 3:145.68 #79 @ data/20140226_h_10fps.avi
? 1:108.503 2:152.865 3:145.408 #80 @ data/20140226_h_10fps.avi
? 1:128.806 2:154.613 3:146.035 #81 @ data/20140226_h_10fps.avi
? 1:131.154 2:154.118 3:143.039 #82 @ data/20140226_h_10fps.avi
? 1:133.003 2:155.697 3:140.169 #83 @ data/20140226_h_10fps.avi
? 1:136.865 2:157.079 3:139.243 #84 @ data/20140226_h_10fps.avi
? 1:140.974 2:157.653 3:138.344 #85 @ data/20140226_h_10fps.avi
? 1:131.001 2:158.5 3:136.87 #86 @ data/20140226_h_10fps.avi
? 1:138.241 2:158.383 3:138.717 #87 @ data/20140226_h_10fps.avi
? 1:138.087 2:158.45 3:136.661 #88 @ data/20140226_h_10fps.avi
? 1:137.22 2:158.596 3:139.043 #89 @ data/20140226_h_10fps.avi
? 1:139.456 2:159.436 3:140.984 #90 @ data/20140226_h_10fps.avi
? 1:140.947 2:159.977 3:135.431 #91 @ data/20140226_h_10fps.avi
? 1:138.831 2:160.298 3:134.666 #92 @ data/20140226_h_10fps.avi
? 1:139.142 2:160.793 3:111.91 #93 @ data/20140226_h_10fps.avi
? 1:139.399 2:160.445 3:111.322 #94 @ data/20140226_h_10fps.avi
? 1:140.058 2:161.016 3:113.487 #95 @ data/20140226_h_10fps.avi
? 1:142.609 2:160.215 3:111.499 #96 @ data/20140226_h_10fps.avi
? 1:141.023 2:158.835 3:111.655 #97 @ data/20140226_h_10fps.avi
? 1:138.706 2:158.654 3:110.463 #98 @ data/20140226_h_10fps.avi
? 1:139.828 2:161.451 3:113.235 #99 @ data/20140226_h_10fps.avi
? 1:140.851 2:162.118 3:132.41 #100 @ data/20140226_h_10fps.avi
? 1:137.251 2:160.76 3:107.896 #101 @ data/20140226_h_10fps.avi
? 1:137.828 2:160.98 3:107.735 #102 @ data/20140226_h_10fps.avi
? 1:137.434 2:162.263 3:106.446 #103 @ data/20140226_h_10fps.avi
? 1:137.646 2:161.978 3:85.6739 #104 @ data/20140226_h_10fps.avi
? 1:136.805 2:162.774 3:105.219 #105 @ data/20140226_h_10fps.avi
? 1:135.812 2:162.499 3:82.7524 #106 @ data/20140226_h_10fps.avi
? 1:136.023 2:161.489 3:80.4085 #107 @ data/20140226_h_10fps.avi
? 1:134.958 2:161.632 3:99.0485 #108 @ data/20140226_h_10fps.avi
? 1:135.379 2:163.7 3:100.65 #109 @ data/20140226_h_10fps.avi
? 1:134.15 2:164.229 3:102.603 #110 @ data/20140226_h_10fps.avi
? 1:131.041 2:161.388 3:100.622 #111 @ data/20140226_h_10fps.avi
? 1:130.231 2:158.784 3:98.6676 #112 @ data/20140226_h_10fps.avi
? 1:131.847 2:156.803 3:94.5729 #113 @ data/20140226_h_10fps.avi
? 1:134.219 2:156.524 3:93.8756 #114 @ data/20140226_h_10fps.avi
? 1:136.58 2:157.571 3:93.7241 #115 @ data/20140226_h_10fps.avi
? 1:132.47 2:152.567 3:71.6828 #116 @ data/20140226_h_10fps.avi
? 1:130.275 2:149.553 3:70.0094 #117 @ data/20140226_h_10fps.avi
? 1:129.922 2:148.944 3:70.8642 #118 @ data/20140226_h_10fps.avi
? 1:129.789 2:152.69 3:93.1364 #119 @ data/20140226_h_10fps.avi
? 1:132.037 2:151.147 3:111.635 #120 @ data/20140226_h_10fps.avi
? 1:129.425 2:149.897 3:71.1673 #121 @ data/20140226_h_10fps.avi
? 1:129.318 2:148.435 3:69.5583 #122 @ data/20140226_h_10fps.avi
? 1:130.555 2:146.756 3:66.791 #123 @ data/20140226_h_10fps.avi
? 1:132.785 2:147.431 3:66.8062 #124 @ data/20140226_h_10fps.avi
? 1:131.449 2:148.941 3:67.8285 #125 @ data/20140226_h_10fps.avi
? 1:131.495 2:148.104 3:69.153 #126 @ data/20140226_h_10fps.avi
? 1:129.425 2:146.223 3:75.6013 #127 @ data/20140226_h_10fps.avi
? 1:127.123 2:148.091 3:77.2897 #128 @ data/20140226_h_10fps.avi
? 1:126.151 2:152.54 3:95.7072 #129 @ data/20140226_h_10fps.avi
? 1:127.5 2:150.223 3:91.7621 #130 @ data/20140226_h_10fps.avi
? 1:124.894 2:148.049 3:92.6029 #131 @ data/20140226_h_10fps.avi
? 1:124.736 2:145.766 3:95.7509 #132 @ data/20140226_h_10fps.avi
? 1:126.319 2:144.058 3:76.4846 #133 @ data/20140226_h_10fps.avi
? 1:128.648 2:145.496 3:98.3726 #134 @ data/20140226_h_10fps.avi
? 1:128.145 2:145.044 3:98.6783 #135 @ data/20140226_h_10fps.avi
? 1:127.537 2:144.691 3:77.5932 #136 @ data/20140226_h_10fps.avi
? 1:126.118 2:143.794 3:75.0678 #137 @ data/20140226_h_10fps.avi
? 1:124.173 2:144.631 3:53.6783 #138 @ data/20140226_h_10fps.avi
? 1:124.873 2:146.275 3:75.291 #139 @ data/20140226_h_10fps.avi
? 1:124.071 2:143.961 3:53.9738 #140 @ data/20140226_h_10fps.avi
? 1:122.309 2:150.579 3:53.1289 #141 @ data/20140226_h_10fps.avi
? 1:121.506 2:153.894 3:71.217 #142 @ data/20140226_h_10fps.avi
? 1:124.748 2:149.909 3:75.1793 #143 @ data/20140226_h_10fps.avi
? 1:130.009 2:155.051 3:79.6149 #144 @ data/20140226_h_10fps.avi
? 1:129.401 2:155.406 3:75.9742 #145 @ data/20140226_h_10fps.avi
? 1:129.406 2:149.13 3:71.0947 #146 @ data/20140226_h_10fps.avi
? 1:126.618 2:143.845 3:73.0287 #147 @ data/20140226_h_10fps.avi
? 1:124.02 2:149.807 3:73.4313 #148 @ data/20140226_h_10fps.avi
? 1:124.86 2:156.712 3:54.9413 #149 @ data/20140226_h_10fps.avi
? 1:123.721 2:154.735 3:74.3335 #150 @ data/20140226_h_10fps.avi
? 1:123.035 2:154.067 3:79.0428 #151 @ data/20140226_h_10fps.avi
? 1:122.295 2:144.89 3:73.4965 #152 @ data/20140226_h_10fps.avi
